,Var
SRS020539.571785,0
SRS014138.571632,0
SRS018439.574489,0
SRS021865.572612,0
SRS020938.570540,0
SRS021427.576368,1
SRS013650.574432,0
SRS016765.571498,0
SRS049389.575772,0
SRS022045.571339,0
SRS014128.573467,0
SRS011300.570651,1
SRS014138.572637,0
SRS020002.572093,0
SRS011589.575334,0
SRS049389.575958,0
SRS021304.570956,1
SRS021187.572120,0
SRS016928.574050,0
SRS017467.573489,0
SRS064540.574255,0
SRS011419.570827,0
SRS056891.575117,0
SRS015621.575367,0
SRS015578.571615,1
SRS023242.573391,1
SRS021077.576052,0
SRS016648.570441,0
SRS020233.575311,1
SRS023803.571442,0
SRS020653.572358,0
SRS021316.574084,0
SRS013774.576519,0
SRS017455.572226,1
SRS023254.573559,0
SRS044038.572290,0
SRS023683.570766,0
SRS016002.572941,0
SRS015395.571275,0
SRS024694.574596,0
SRS017821.573378,1
SRS011533.572121,0
SRS014271.573756,0
SRS021439.575188,0
SRS043591.570353,0
SRS016859.575045,0
SRS045007.573492,0
SRS054608.570991,1
SRS055574.570370,0
SRS065507.575945,0
SRS014560.574910,0
SRS014426.575548,0
SRS022303.572354,0
SRS020995.573872,0
SRS013502.574778,0
SRS018088.576347,0
SRS011621.574052,1
SRS016529.572228,0
SRS063524.570449,1
SRS063549.571613,0
SRS047642.574920,1
SRS016152.575818,1
SRS022033.573903,1
SRS022354.575121,1
SRS022033.571876,1
SRS015599.573980,1
SRS062610.573115,1
SRS016335.574806,1
SRS017307.573991,1
SRS016267.574460,1
SRS014999.573319,1
SRS016517.572220,1
SRS014823.573220,1
SRS052196.570693,1
SRS016990.572825,1
SRS011413.574891,1
SRS045414.575582,1
SRS018733.576038,1
SRS020290.575215,1
SRS046313.573233,1
SRS046382.571580,1
SRS014978.574493,1
SRS021065.570555,1
SRS018250.572026,1
SRS018817.576371,1
SRS045613.573221,1
SRS016095.576115,1
SRS052471.571491,1
SRS016841.574223,1
SRS013801.571266,1
SRS013762.575688,1
SRS019990.575633,1
SRS015190.574603,1
SRS021109.576014,1
SRS013216.572775,1
SRS042415.573963,1
SRS017641.576524,1
SRS011529.572499,1
SRS018607.575108,1
SRS015281.574499,1
SRS063138.571059,1
SRS011529.575498,1
SRS011621.570901,1
SRS011405.573854,1
SRS063068.571182,1
SRS017764.574643,1
SRS064335.576415,1
SRS014442.576591,1
SRS016841.576191,1
SRS048838.571581,1
SRS021121.576388,0
SRS013490.572039,1
SRS019267.572944,1
SRS017878.574593,1
SRS022159.574664,1
SRS016400.574860,1
SRS013490.574260,1
SRS043804.573505,1
SRS043804.574131,1
SRS017701.572771,1
SRS013177.574389,1
SRS021241.571478,1
SRS017103.576059,1
SRS024682.575524,1
SRS015911.572245,1
SRS014613.575883,1
SRS015911.574784,1
SRS065466.573967,1
SRS057267.575643,1
SRS020926.575158,1
SRS013687.574921,1
SRS016517.576573,1
SRS014442.574962,1
SRS020641.575934,1
SRS011413.572250,1
SRS057267.575683,1
SRS011586.570758,1
SRS052471.570830,1
SRS017103.573710,1
SRS017394.570518,1
SRS018607.574882,1
SRS011405.576483,1
SRS023365.574376,1
SRS016437.570695,1
SRS018076.571839,1
SRS015960.575325,1
SRS021853.573601,1
SRS020470.572461,1
SRS023791.575870,1
SRS018190.571470,1
SRS016753.575947,1
SRS046349.571012,1
SRS020869.573690,1
SRS017394.572238,1
SRS017266.574666,1
SRS021664.571072,1
SRS014345.572672,1
SRS049157.576520,1
SRS018817.575802,1
SRS017641.575969,1
SRS020698.571008,1
SRS016916.571068,1
SRS022798.573725,1
SRS048853.572732,1
SRS017394.575884,1
SRS049959.574584,1
SRS011157.576495,1
SRS022225.570741,1
SRS046349.572107,1
SRS016018.576061,1
SRS016203.576485,1
SRS021427.570998,1
SRS014572.575816,1
SRS017997.575028,1
SRS018489.573389,1
SRS021364.571294,1
SRS044146.570376,1
SRS017394.574155,1
SRS021175.572518,1
SRS048722.571397,1
SRS020527.575553,1
SRS016585.571610,1
