,Var
SRS015528.570803,1
SRS022185.573873,0
SRS015368.573170,0
SRS020316.575736,0
SRS022183.573006,1
SRS020316.571034,0
SRS013664.572303,0
SRS011604.571410,0
SRS011175.573375,0
SRS017667.571840,0
SRS018339.573081,0
SRS042857.575405,0
SRS015472.573611,0
SRS020952.573519,0
SRS015309.575767,1
SRS016168.573362,0
SRS018803.574985,1
SRS011545.574166,1
SRS018605.571130,0
SRS017665.574059,1
SRS015407.573973,1
SRS046739.573605,1
SRS015188.571136,0
SRS048589.571475,1
SRS011470.570260,0
SRS043032.570771,0
SRS021688.571919,1
SRS013474.573185,0
SRS016237.573728,1
SRS023815.570223,1
SRS021091.574770,0
SRS018396.574712,0
SRS015186.574269,1
SRS017845.575402,1
SRS016541.574390,1
SRS011635.572759,1
SRS011468.570781,1
SRS011638.571453,0
SRS013472.574884,1
SRS017788.573983,1
SRS011520.575892,0
SRS015409.571129,0
SRS017090.573422,0
SRS020724.572210,0
SRS053814.573460,1
SRS057608.571486,1
SRS011635.575138,1
SRS013472.575723,1
SRS016016.575528,0
SRS018451.574474,1
SRS013569.574941,0
SRS011287.571662,1
SRS051849.574340,0
SRS011601.573326,1
SRS011289.576319,0
SRS016940.574600,1
SRS011431.574579,1
SRS015033.573128,1
SRS018603.570389,1
SRS022884.574755,0
SRS018337.575352,1
SRS021451.574393,1
SRS016131.571991,0
SRS021201.573174,0
SRS016129.574189,1
SRS020439.571746,0
SRS018513.572822,1
SRS015574.575989,1
SRS020314.574434,1
SRS050457.576087,1
SRS023695.575032,1
SRS015681.574258,1
SRS011671.575536,0
SRS044027.572464,1
SRS020895.570284,0
SRS016942.575808,0
SRS011431.575587,1
SRS011433.572592,0
SRS011373.573322,0
SRS022059.573825,0
SRS022249.573803,1
SRS020837.571716,0
SRS015366.570858,1
SRS013252.573761,1
SRS017361.573508,1
SRS014554.570500,0
SRS018214.570641,1
SRS011287.575677,1
SRS015311.574775,0
SRS011669.575099,1
SRS062457.574777,1
SRS013729.571259,0
SRS021199.570601,1
SRS016777.576593,1
SRS011173.573031,1
SRS057789.570842,1
SRS015720.572657,1
SRS014966.572749,0
SRS011518.572645,1
SRS011569.571511,1
SRS015786.572236,1
SRS064994.572209,1
SRS018453.570514,0
SRS013662.573790,1
SRS046636.574261,1
SRS019259.573482,1
SRS013201.576199,1
SRS052249.571509,0
SRS021814.570948,1
SRS016541.576313,1
SRS046956.573497,0
SRS014552.575992,1
SRS020553.571003,0
SRS017363.570258,0
SRS057069.575394,0
SRS015576.571891,0
SRS024706.570427,1
SRS017667.576128,0
SRS016283.575720,0
SRS023268.571065,0
SRS017142.572169,0
SRS022317.570845,0
SRS020893.572891,1
SRS017418.570288,1
SRS020722.572856,1
SRS021453.575803,0
SRS020259.573410,0
SRS020608.573317,1
SRS015633.575692,1
SRS016424.570841,1
SRS017665.576427,1
SRS014762.576256,1
SRS022380.572858,0
SRS021816.573480,0
SRS022693.570875,1
SRS015978.576565,1
SRS022822.572831,1
SRS046752.570947,1
SRS013516.574586,0
SRS014764.572437,0
SRS020014.571679,1
SRS016331.571080,1
SRS023266.574467,1
SRS011569.573686,1
SRS044435.576582,0
SRS021009.570698,0
SRS016014.571728,1
SRS011669.570746,1
SRS018157.576362,1
SRS014966.571545,0
SRS011289.573414,0
SRS015035.575318,0
SRS014422.572875,1
SRS017304.574533,1
SRS024708.571657,0
SRS018515.573181,0
SRS017902.574551,1
SRS022693.574312,1
SRS020314.575041,1
SRS018023.570445,0
SRS020016.574337,0
SRS042619.573512,1
SRS017420.570810,0
SRS016880.572985,0
SRS016543.576556,0
SRS011601.572852,1
SRS017142.570290,0
SRS011604.575838,0
SRS020494.571272,1
SRS011173.572279,1
SRS011496.571437,0
SRS021328.575197,1
SRS020950.574171,1
SRS018605.572150,0
SRS017230.573092,0
SRS023391.574995,0
SRS042087.570839,0
SRS023815.575452,1
SRS021748.572096,1
SRS011496.572361,0
SRS022882.570869,1
SRS020016.570759,0
SRS016880.576536,0
SRS013141.575813,0
SRS021390.574570,0
SRS021388.574688,1
SRS020665.570268,1
SRS017418.571546,1
SRS020610.570350,0
SRS020496.576100,0
SRS022572.571476,0
SRS017292.574815,0
SRS011671.572779,0
SRS050155.575447,1
SRS017481.575912,0
SRS021330.574115,0
SRS023697.572219,0
SRS013203.574575,0
SRS017139.573399,1
